name,calls,self_cpu_time_total,cpu_time_total,self_cuda_time_total,cuda_time_total
DataParallel.forward,1,37228.0,1873021.0,0.0,112332.0
Memcpy DtoD (Device -> Device),47,0.0,0.0,70.0,70.0
Memcpy DtoH (Device -> Pageable),36,0.0,0.0,3.0,3.0
Memcpy HtoD (Pageable -> Device),16,0.0,0.0,2603.0,2603.0
Memset (Device),15,0.0,0.0,13.0,13.0
MultiScaleDeformableAttnFunction_fp32,12,781.0,1010.0,860.0,902.0
ampere_sgemm_32x32_sliced1x4_tn,1,0.0,0.0,7.0,7.0
aten::__and__,4,247.0,582.0,0.0,4.0
aten::__iand__,1,2.0,16.0,0.0,0.0
aten::_batch_norm_impl_index,53,240.0,2953.0,0.0,15881.0
aten::_cat,30,274.0,498.0,162.0,162.0
aten::_convolution,55,449.0,1740967.0,0.0,57375.0
aten::_cumsum,1,190.0,205.0,2.0,2.0
aten::_index_put_impl_,18,66.0,169.0,57.0,57.0
aten::_local_scalar_dense,17,32.0,1252.0,1.0,1.0
aten::_softmax,18,272.0,395.0,962.0,962.0
aten::_unsafe_view,148,194.0,220.0,0.0,0.0
aten::add,96,453.0,673.0,396.0,396.0
aten::add_,194,1418.0,1849.0,13484.0,13484.0
aten::addmm,2,2853.0,3095.0,10.0,10.0
aten::alias,8,5.0,5.0,0.0,0.0
aten::all,2,25.0,45.0,4.0,4.0
aten::arange,4,200.0,258.0,1.0,2.0
aten::as_strided,1322,381.0,700.0,0.0,0.0
aten::as_strided_,1,3.0,3.0,0.0,0.0
aten::atan2,1,272.0,286.0,2.0,2.0
aten::batch_norm,53,545.0,3498.0,0.0,15892.0
aten::bitwise_and,9,312.0,561.0,4.0,8.0
aten::bitwise_and_,1,3.0,14.0,0.0,0.0
aten::bmm,13,1423.0,1681.0,1748.0,1748.0
aten::cat,30,364.0,862.0,0.0,162.0
aten::chunk,12,30.0,137.0,0.0,0.0
aten::clamp,114,553.0,1470.0,23.0,105.0
aten::clamp_min,159,1145.0,1898.0,12644.0,12690.0
aten::clamp_min_,72,253.0,1378.0,0.0,10301.0
aten::clone,6,17.0,87.0,0.0,5.0
aten::contiguous,11,24.0,265.0,0.0,42.0
aten::conv2d,55,151.0,1741278.0,0.0,57375.0
aten::convolution,55,160.0,1741127.0,0.0,57375.0
aten::copy_,165,895.0,47481.0,2904.0,2904.0
aten::cudnn_batch_norm,53,1463.0,2722.0,15892.0,15892.0
aten::cudnn_convolution,55,99751.0,1740477.0,57357.0,57357.0
aten::cumsum,1,121.0,495.0,0.0,2.0
aten::detach,6,8.0,13.0,0.0,0.0
aten::detach_,12,13.0,17.0,0.0,0.0
aten::div,51,531.0,719.0,205.0,205.0
aten::div_,2,10.0,16.0,4.0,4.0
aten::dropout,42,20.0,20.0,0.0,0.0
aten::embedding,2,444.0,1710.0,0.0,3.0
aten::empty,785,1613.0,2497.0,0.0,0.0
aten::empty_like,97,214.0,1109.0,0.0,0.0
aten::empty_strided,40,164.0,265.0,0.0,0.0
aten::eq,24,409.0,758.0,11.0,22.0
aten::exp,3,263.0,273.0,6.0,6.0
aten::expand,28,31.0,50.0,0.0,0.0
aten::expand_as,9,14.0,20.0,0.0,0.0
aten::fill_,31,105.0,184.0,79.0,79.0
aten::flatten,3,4.0,10.0,0.0,0.0
aten::floor_divide,1,162.0,168.0,1.0,1.0
